coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
BCH,LONG,2025-03-30 01:00:00,2025-03-31 03:00:00,26.0,303.88,297.48,-1.45671e-05,2.9339e-06,-2.1060945109911735,0.03050835,0.09,-2.1655861609911735,2025
SOL,LONG,2025-03-30 20:00:00,2025-03-31 04:00:00,8.0,125.29,124.92,-1.47107e-05,-2.0385e-06,-0.29531486950275726,0.01930956,0.09,-0.3660053095027572,2025
PYTH,LONG,2025-03-30 09:00:00,2025-03-31 06:00:00,21.0,0.14872,0.14204,-1.45486e-05,2.7086e-06,-4.491662183969871,0.030039549999999998,0.09,-4.551622633969871,2025
SEI,LONG,2025-03-30 20:00:00,2025-03-31 06:00:00,10.0,0.1768,0.1713,-1.46438e-05,-7.998e-07,-3.1108597285067896,0.01898585,0.09,-3.1818738785067895,2025
TAO,LONG,2025-03-31 05:00:00,2025-03-31 07:00:00,2.0,223.08,218.27,-1.44736e-05,-2.9286e-06,-2.156177156177157,0.00121702,0.09,-2.244960136177157,2025
INJ,LONG,2025-03-28 14:00:00,2025-03-31 08:00:00,66.0,9.364,8.516,-1.43362e-05,1.0317e-06,-9.055958991883818,0.19379277000000003,0.09,-8.952166221883818,2025
SAND,LONG,2025-03-31 06:00:00,2025-03-31 09:00:00,3.0,0.26793,0.2648,-1.49359e-05,-7.39e-07,-1.1682155786959363,0.00212819,0.09,-1.2560873886959363,2025
JUP,LONG,2025-03-31 06:00:00,2025-03-31 10:00:00,4.0,0.476,0.4468,-1.49863e-05,-1.341e-06,-6.134453781512606,0.00298183,0.09,-6.221471951512606,2025
ADA,LONG,2025-03-30 20:00:00,2025-03-31 11:00:00,15.0,0.6654,0.6437,-1.40906e-05,-1.1918e-06,-3.2611962729185366,0.023628,0.09,-3.3275682729185365,2025
BANANA,LONG,2025-03-31 07:00:00,2025-03-31 11:00:00,4.0,18.548,18.69,-1.47356e-05,9.082e-07,0.7655811947379935,0.00177789,0.09,0.6773590847379934,2025
MAVIA,LONG,2025-03-30 21:00:00,2025-03-31 13:00:00,16.0,0.4491,0.4234,-1.45592e-05,1.6125e-06,-5.722556223558228,0.017239869999999997,0.09,-5.795316353558228,2025
HBAR,LONG,2025-03-31 09:00:00,2025-03-31 13:00:00,4.0,0.15694,0.16076,-1.40089e-05,5.771e-07,2.434051229769332,0.00326439,0.09,2.3473156197693323,2025
DOGE,LONG,2025-03-31 01:00:00,2025-03-31 14:00:00,13.0,0.16673,0.16621,-1.45737e-05,-2.0637e-06,-0.3118814850356821,0.03044179,0.09,-0.3714396950356821,2025
APT,LONG,2025-03-31 14:00:00,2025-03-31 15:00:00,1.0,5.3885,5.3401,-1.44386e-05,-1.322e-06,-0.8982091491138535,0.0,0.09,-0.9882091491138535,2025
